_id,from_id,to_id,properties
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:101,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:134,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:101,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:102,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:134,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:102,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:103,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:134,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:103,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:104,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:134,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:104,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:105,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:134,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:105,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:106,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:134,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:106,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:107,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:134,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:107,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:108,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:134,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:108,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:109,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:134,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:109,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:110,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:134,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:110,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:111,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:134,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:111,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:112,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:134,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:112,{}
