_id,from_id,to_id,properties
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8688,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:68,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4449,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8689,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:69,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4449,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8690,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:70,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4449,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8691,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:71,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4449,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8692,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:72,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4449,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8693,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:73,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4449,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8694,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:74,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4449,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8695,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:75,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4449,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8696,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:76,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4449,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8697,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:77,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4449,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8698,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:78,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4449,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8699,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:78,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4450,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8700,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:79,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4449,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8701,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:80,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4449,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8702,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:81,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4450,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8703,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:82,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4450,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8704,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:83,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4449,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8705,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:84,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4449,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8706,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:85,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4449,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8707,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:85,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4450,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8708,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:86,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4449,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8709,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:87,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4449,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8710,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:88,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4449,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8711,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:89,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4449,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8712,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:91,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4451,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8713,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:99,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4450,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8714,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:103,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4450,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8715,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:103,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4451,{}
